"filename", "language", "HTML", "JavaScript", "CSS", "SCSS", "Less", "XML", "Markdown", "JSON", "comment", "blank", "total"
"c:\Users\kk\Desktop\outstanding-crm-front\src\PublicComponents\backstageMgt\component\rolecontrol\component\jurisdiction\office\table.js", "JavaScript", 0, 135, 0, 0, 0, 0, 0, 0, 4, 4, 143
"c:\Users\kk\Desktop\outstanding-crm-front\src\PublicComponents\backstageMgt\component\rolecontrol\component\jurisdiction\project\project.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\kk\Desktop\outstanding-crm-front\src\PublicComponents\backstageMgt\component\rolecontrol\component\jurisdiction\project\project.js", "JavaScript", 0, 331, 0, 0, 0, 0, 0, 0, 16, 17, 364
"c:\Users\kk\Desktop\outstanding-crm-front\src\PublicComponents\backstageMgt\component\rolecontrol\component\jurisdiction\project\table.js", "JavaScript", 0, 135, 0, 0, 0, 0, 0, 0, 3, 4, 142
"c:\Users\kk\Desktop\outstanding-crm-front\src\PublicComponents\backstageMgt\component\rolecontrol\component\jurisdiction\system\components\systemMgt\store.js", "JavaScript", 0, 332, 0, 0, 0, 0, 0, 0, 16, 15, 363
"c:\Users\kk\Desktop\outstanding-crm-front\src\PublicComponents\backstageMgt\component\rolecontrol\component\jurisdiction\system\system.css", "CSS", 0, 0, 145, 0, 0, 0, 0, 0, 0, 2, 147
"c:\Users\kk\Desktop\outstanding-crm-front\src\PublicComponents\backstageMgt\component\rolecontrol\component\jurisdiction\system\table.js", "JavaScript", 0, 135, 0, 0, 0, 0, 0, 0, 3, 3, 141
"c:\Users\kk\Desktop\outstanding-crm-front\src\PublicComponents\backstageMgt\component\rolecontrol\component\menulayout\store.js", "JavaScript", 0, 116, 0, 0, 0, 0, 0, 0, 8, 22, 146
"c:\Users\kk\Desktop\outstanding-crm-front\src\PublicComponents\backstageMgt\component\rolecontrol\component\menulayout\style.css", "CSS", 0, 0, 39, 0, 0, 0, 0, 0, 0, 6, 45
"c:\Users\kk\Desktop\outstanding-crm-front\src\PublicComponents\backstageMgt\component\rolecontrol\store.js", "JavaScript", 0, 33, 0, 0, 0, 0, 0, 0, 3, 7, 43
"c:\Users\kk\Desktop\outstanding-crm-front\src\PublicComponents\backstageMgt\component\rolecontrol\menulayout\store.js", "JavaScript", 0, 83, 0, 0, 0, 0, 0, 0, 0, 26, 109
